RK,NAME,TEAM,SALARY         ,Team Rank
359,Robert Covington,PHI,1015696,13
360,Jeff Withey,UTA,1015696,13
361,Edy Tavares,CLE,1000000,10
362,Gerald Green,BOS,980431,15
363,Joe Harris,BRK,980431,16
364,Sean Kilpatrick,BRK,980431,17
365,Brian Roberts,CHO,980431,12
366,Chris Andersen,CLE,980431,11
367,James Jones,CLE,980431,12
368,Jarnell Stokes,DEN,980431,15
369,Beno Udrih,DET,980431,13
370,James Michael,GSW,980431,11
371,Anderson Varejao,GSW,980431,12
372,David West,GSW,980431,13
373,Ian Clark,GSW,980431,14
374,Raymond Felton,LAC,980431,12
375,Brandon Bass,LAC,980431,13
376,Alan Anderson,LAC,980431,14
377,Metta World,LAL,980431,14
378,Thomas Robinson,LAL,980431,15
379,JaMychal Green,MEM,980431,13
380,Steve Novak,MIL,980431,13
381,Jason Terry,MIL,980431,14
382,John Lucas,MIN,980431,14
383,Terrence Jones,NOP,980431,13
384,Sasha Vujacic,NYK,980431,12
385,Jerami Grant,OKC,980431,14
386,Damjan Rudez,ORL,980431,13
387,Arinze Onuaku,ORL,980431,14
388,Ty Lawson,SAC,980431,13
389,Jordan Farmar,SAC,980431,14
390,Marcus Thornton,WAS,980431,12
391,Stephen Zimmerman,ORL,950000,15
392,Andrew Harrison,MEM,945000,14
393,Raul Neto,UTA,937800,14
394,Malcolm Brogdon,MIL,925000,15
395,Tyler Ulis,PHO,918369,13
396,Reggie Williams,NOP,895197,14
397,Cristiano Felicio,CHI,874636,13
398,Christian Wood,CHO,874636,13
399,Aaron Harrison,CHO,874636,14
400,Jordan McRae,CLE,874636,13
401,Salah Mejri,DAL,874636,9
402,Darrun Hilliard,DET,874636,14
403,Josh Richardson,MIA,874636,12
404,T.J. McConnell,PHI,874636,14
405,Alan Williams,PHO,874636,14
406,Pat Connaughton,POR,874636,12
407,Jonathon Simmons,SAS,874636,12
408,Norman Powell,TOR,874636,14
409,R.J. Hunter,CHI,864346,14
410,Paul Zipser,CHI,750000,15
411,Spencer Dinwiddie,BRK,726672,18
412,Bobby Brown,HOU,680534,11
413,A.J. Hammons,DAL,650000,10
414,Michael Gbinije,DET,650000,15
415,Georges Niang,IND,650000,15
416,Jake Layman,POR,600000,13
417,Joel Bolomboy,UTA,600000,15
418,Donatas Motiejunas,NOP,576724,15
419,Treveon Graham,CHO,543471,15
420,Kay Felder,CLE,543471,14
421,Ben Bentil,DAL,543471,11
422,Dorian Finney-Smith,DAL,543471,12
423,Nicolas Brussino,DAL,543471,13
424,Patrick McCaw,GSW,543471,15
425,Kyle Wiltjer,HOU,543471,12
426,Chinanu Onuaku,HOU,543471,13
427,Diamond Stone,LAC,543471,15
428,Rodney McGruder,MIA,543471,13
429,Cheick Diallo,NOP,543471,16
430,Ron Baker,NYK,543471,13
431,Maurice Ndour,NYK,543471,14
432,Marshall Plumlee,NYK,543471,15
433,Semaj Christon,OKC,543471,15
434,Derrick Jones,PHO,543471,15
435,Tim Quarterman,POR,543471,14
436,Davis Bertans,SAS,543471,13
437,Nicolas Laprovittola,SAS,543471,14
438,Bryn Forbes,SAS,543471,15
439,Fred VanVleet,TOR,543471,15
440,Daniel Ochefu,WAS,543471,13
441,Danuel House,WAS,543471,14
442,Sheldon McClellan,WAS,543471,15
443,Jonathan Gibson,DAL,469943,14
444,Toney Douglas,MEM,379159,15
445,Joel Anthony,SAS,346034,16
446,Ryan Kelly,ATL,286785,16
447,Ronnie Price,PHO,276828,16
448,Deron Williams,DAL,259526,15
449,Isaiah Taylor,HOU,255000,14
450,Jose Calderon,LAL,247991,16
451,Norris Cole,OKC,247991,16
452,Lamar Patterson,ATL,246956,17
453,Andrew Bogut,DAL,242224,16
454,Matt Barnes,SAC,242224,15
455,Okaro White,MIA,210995,14
456,Yogi Ferrell,DAL,207798,17
457,Larry Sanders,CLE,207722,15
458,Jordan Crawford,NOP,173099,17
459,Johnny O'Bryant,DEN,161483,16
460,Chasson Randle,NYK,143860,16
461,Omri Casspi,SAC,138414,16
462,Briante Weber,CHO,128623,16
463,Derrick Williams,CLE,115344,16
464,Manny Harris,DAL,115344,18
465,Hollis Thompson,PHI,115344,15
466,Shawn Long,PHI,89513,16
467,Wayne Selden,MEM,83119,16
468,Troy Williams,MEM,76725,17
469,Archie Goodwin,BRK,75000,19
470,David Nwaba,LAL,73528,17
471,Mike Tobey,CHO,67135,17
472,Alonzo Gee,DEN,57672,17
473,Anthony Brown,NOP,57672,18
474,Jarrett Jack,NOP,57672,19
475,Justin Harper,PHI,57672,17
